ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,CrossValidated,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,LevelInSampleRMSE,LevelInSampleMAPE,LevelInSampleMAE,LevelInSampleR2,best_model,Series,FcstMAPE,ObjectEstimator,Used Anomalies
mlp_cv_mv,mlp,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']","{'activation': 'relu', 'hidden_layer_sizes': (25,), 'solver': 'adam'}",minmax,249,True,True,True,1,4,60368.66820315855,0.9999114828711841,54804.36917471116,-0.03953166472599112,0.5822634014883715,-53546.0,0.95,104342.6816185276,60442.860189077364,0.9998206752672159,51418.60178247106,0.00011180206936156623,,mae,60231.80435009065,,,60905.85708752713,0.15617785333374842,52880.25152550328,-0.30214403506064413,154652.38208580943,0.5589524840483497,134555.11806078156,-1.3446479609847213,False,IAH-Int,0.22129371299172823,MVForecaster,True
lightgbm_cv_mv,lightgbm,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']","{'n_estimators': 150, 'boosting_type': 'gbdt', 'max_depth': 3, 'learning_rate': 0.001}",minmax,249,True,True,True,1,4,58523.33629938373,0.8913901239398764,51282.77051856949,0.023049216215043522,-11006.772114000947,-53546.0,0.95,88758.43773797713,54102.36649388169,0.8612711262108468,45129.70165150509,0.198886681597502,,mae,61223.79045488072,,,56811.278293811614,0.1569829037081884,51745.42377523224,-0.13294813869450417,134900.13357363825,0.5434353269323559,117668.16891388164,-0.7839766936321824,False,IAH-Int,0.1804836530783021,MVForecaster,True
theta_tune_uv,theta,,"{'theta': 0.5, 'model_mode': <ModelMode.ADDITIVE: 'additive'>, 'season_mode': <SeasonalityMode.ADDITIVE: 'additive'>, 'trend_mode': <TrendMode.LINEAR: 'linear'>}",,248,True,False,True,1,4,61857.25807391051,1.0438453198846995,56387.02726609657,-0.09142994050403108,857.5467140219781,-53546.0,0.95,124456.64116106225,60682.650015874075,2.006099912818561,51446.51463887991,-0.08653317043022146,36,rmse,76624.70732543322,,,63424.204850821196,0.16233048802334904,55467.75872620258,-0.4120529094290255,397410.0954472418,1.1630666196493205,372022.1371731815,-13.876602697393643,False,IAH-Int,0.22542172780624903,Forecaster,False
theta_cv_uv,theta,,"{'theta': 0.5, 'model_mode': <ModelMode.ADDITIVE: 'additive'>, 'season_mode': <SeasonalityMode.ADDITIVE: 'additive'>, 'trend_mode': <TrendMode.EXPONENTIAL: 'exponential'>}",,248,True,True,True,1,4,61857.25807391051,1.0438453198846995,56387.02726609657,-0.09142994050403108,857.5467140219781,-53546.0,0.95,117389.37998778184,60682.650015874075,2.006099912818561,51446.51463887991,-0.08653317043022146,,rmse,61743.40711274222,,,63424.204850821196,0.16233048802334904,55467.75872620258,-0.4120529094290255,397410.0954472418,1.1630666196493205,372022.1371731815,-13.876602697393643,False,IAH-Int,0.22542172780624903,Forecaster,False
xgboost_tune_mv,xgboost,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']","{'n_estimators': 250, 'scale_pos_weight': 5, 'learning_rate': 0.2, 'gamma': 5, 'subsample': 0.9}",minmax,249,True,False,True,1,4,82786.22064146542,1.0322211902078375,64996.50817871094,-0.9549274557271283,-116595.6796875,-53546.0,0.95,1.7151626972565148,0.8376539249766976,2.1706675427465482e-05,0.6363064747936321,0.9999999998079604,36,mae,63619.38794377644,,,60870.603521551144,0.17367672348146515,55819.79162597656,-0.30063705568622523,2.3863652448754693,5.565777901140375e-06,1.8341847545695755,0.9999999994417378,False,IAH-Int,0.04670673135294245,MVForecaster,True
lstm,rnn,,"{'lags': 48, 'layers_struct': [('LSTM', {'units': 100, 'dropout': 0, 'return_sequences': False}), ('LSTM', {'units': 100, 'dropout': 0, 'return_sequences': False}), ('Dense', {'units': 10}), ('Dense', {'units': 10})], 'epochs': 8, 'random_seed': 42, 'validation_split': 0.2}",minmax,248,False,False,,1,4,63596.69896476143,0.9812786042053703,56651.041309894616,-0.15367552829119413,8818.153586369754,-53546.0,0.95,,64142.748655631505,0.9749682713118779,52612.66165578605,-0.08348941467376703,,,,,,63165.216873232945,0.1821709108386623,58139.07186855824,-0.400544430474542,1252204.181083414,5.585709103963641,1073381.4401453137,-151.0165257720429,False,IAH-Int,0.14741583554701074,Forecaster,False
knn_tune_mv,knn,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']",{'n_neighbors': 13},minmax,249,True,False,True,1,4,55068.76557760419,0.5626651183839366,34530.32692307692,0.1349818586546797,-58453.92307692308,-53546.0,0.95,56217.676425744496,27454.14090509437,0.44638222374935527,15684.268505079828,0.7937104899040308,36,mae,55982.64807692308,,,69373.09882279029,0.19230182780596788,54987.134615384624,-0.6893634601333152,65579.5371792283,0.4052961618919945,42775.91582002897,0.5783995054424913,False,IAH-Int,0.09374198467518663,MVForecaster,True
mlp_tune_mv,mlp,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']","{'activation': 'tanh', 'hidden_layer_sizes': (25,), 'solver': 'lbfgs'}",minmax,249,True,False,True,1,4,65570.49655386273,0.8051021065248465,43800.657028951806,-0.2263981248952316,-61016.07623498483,-53546.0,0.95,51395.86952574303,38142.81782054104,0.818283853133056,25472.112124163275,0.6018130935011491,36,mae,63954.183754209414,,,63834.52240459045,0.19318385799126558,57942.401486364004,-0.4303823234021269,164513.08888667668,0.8310974416743295,129911.95413943719,-1.653171541966886,False,IAH-Int,0.14375217951098543,MVForecaster,True
knn_cv_mv,knn,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']",{'n_neighbors': 49},minmax,249,True,True,True,1,4,59379.93247890216,0.6303670760032373,40664.61734693878,-0.005759009534078263,-48506.836734693876,-53546.0,0.95,84211.31886154377,36126.18566503044,0.6095683365108127,24522.451289949942,0.6428047729943106,,mae,68297.90344697265,,,63421.500901192616,0.19622323941026215,58894.34693877552,-0.4119325125376354,717284.4843494878,3.2687470258826847,603305.8863111285,-49.436772782775435,False,IAH-Int,0.08305630825653583,MVForecaster,True
sgd_tune_mv,sgd,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']","{'penalty': 'l2', 'l1_ratio': 0.15, 'learning_rate': 'invscaling'}",minmax,249,True,False,True,1,4,73755.83505377475,0.8820438242945151,52876.752198777016,-0.5516983616941937,-76419.87044829589,-53546.0,0.95,54349.13758733295,31995.628896993552,0.6538809336881529,19487.254836596025,0.719816387964102,36,mae,60880.30506262083,,,65346.26657675759,0.20045484754545145,61677.11857301374,-0.4989338520030744,175664.26247319413,1.0027609365873056,127312.47907652945,-2.0250408954256143,False,IAH-Int,0.09669206220350511,MVForecaster,True
sgd_cv_mv,sgd,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']","{'penalty': 'l1', 'l1_ratio': 0, 'learning_rate': 'adaptive'}",minmax,249,True,True,True,1,4,75029.63812867131,0.8797641919873396,53081.38176038305,-0.6057585253653761,-77157.50732168209,-53546.0,0.95,51158.12904735919,30630.00968849645,0.6199850701290488,18221.339818829605,0.7432232509001071,,mae,89822.74097423021,,,68292.48443247293,0.20741141088390516,63212.067407857656,-0.6371434401867799,96295.030633125,0.605148738472776,53466.04758011706,0.09098265884631385,False,IAH-Int,0.06445421019614399,MVForecaster,True
lightgbm_tune_mv,lightgbm,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']","{'n_estimators': 200, 'boosting_type': 'goss', 'max_depth': 1, 'learning_rate': 0.01}",minmax,249,True,False,True,1,4,62636.79716541179,0.49359545640698543,37747.16026286235,-0.11911216875058539,-54209.28204681313,-53546.0,0.95,51339.91583763646,31893.78522529082,0.568010646685991,20402.290807253878,0.7215972258309272,36,mae,58739.86299293727,,,69899.72160464124,0.2077229340861031,61102.56797056722,-0.7151092915469293,141045.39582922246,0.41542204369186975,108383.77007931091,-0.9502138881608488,False,IAH-Int,0.07695484337185902,MVForecaster,True
silverkite_tune_uv,silverkite,,{'changepoints': 2},,248,True,False,True,1,4,66312.88701273873,0.8660542431070042,54793.73345564296,-0.25432594223281146,-4797.8532157282125,-53546.0,0.95,102926.3743651505,50280.27751874289,0.9086518713640346,37768.99397678696,0.24780382733162865,36,rmse,82823.55586506196,,,69079.50172030034,0.21594809267374773,66172.61687572367,-0.6750944518422894,107417.79672314298,0.37217013111857034,84272.29576241162,-0.08744731576194575,False,IAH-Int,0.13506690311027053,Forecaster,False
silverkite_cv_uv,silverkite,,{'changepoints': 0},,248,True,True,True,1,4,66312.88701273873,0.8660542431070042,54793.73345564296,-0.25432594223281146,-4797.8532157282125,-53546.0,0.95,74361.05070069875,50280.27751874289,0.9086518713640346,37768.99397678696,0.24780382733162865,,rmse,56767.44867770127,,,69079.50172030034,0.21594809267374773,66172.61687572367,-0.6750944518422894,107417.79672314298,0.37217013111857034,84272.29576241162,-0.08744731576194575,False,IAH-Int,0.13506690311027053,Forecaster,False
xgboost_cv_mv,xgboost,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']","{'n_estimators': 150, 'scale_pos_weight': 5, 'learning_rate': 0.1, 'gamma': 0, 'subsample': 0.9}",minmax,249,True,True,True,1,4,84716.07164205951,0.8615072477872029,60316.91748046875,-1.0471334312556264,-96897.5078125,-53546.0,0.95,773.3579921099913,342.9144863990182,0.008951368438092591,250.37569096403303,0.9999678165133474,,mae,83691.22696234459,,,76857.75902118877,0.2259762168635309,68557.26708984375,-1.073558738854397,1307.500935756861,0.005403709691918604,1012.423381301592,0.9998324098716174,False,IAH-Int,0.06537258492218812,MVForecaster,True
mlr_cv_mv,mlr,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']",{},,249,True,True,True,1,4,87972.76775367274,0.7247064497442848,53101.227354674076,-1.207552517831311,-79206.49882286039,-53546.0,0.95,66821.15355153984,28166.31646462761,0.5215038169866542,17135.566123025394,0.7828691477984391,,mae,94220.70706534125,,,106546.37785790261,0.28381504866661633,80651.60322651091,-2.9849078944414376,69060.79587714213,0.42094323496926006,42202.86850663583,0.5324505236769168,False,IAH-Int,0.06752269327718623,MVForecaster,True
mlr_tune_mv,mlr,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']",{},scale,249,True,False,True,1,4,87972.7677549302,0.7247064497885577,53101.227356861215,-1.207552517894419,-79206.49882529421,-53546.0,0.95,39668.68248387572,28166.31646462761,0.5215038169860685,17135.566122883516,0.7828691477984392,36,mae,68168.21805955985,,,106546.37785672622,0.28381504866692064,80651.60322707464,-2.9849078943534417,69060.79587287774,0.4209432349486223,42202.8684990315,0.5324505237346575,False,IAH-Int,0.06752269327753273,MVForecaster,True
